index,audio,ref_audio,text,duration_sec,status,split,reason
0,./audio/0.wav,./audio/ref_voice/alienkevin.wav,你知唔知今日嘅temperature會落到低至10度，一定要著厚d嘅clothes啊！,8.1067,kept,train,"8.11s in [5.0, 30.0]"
1,./audio/1.wav,./audio/ref_voice/alienkevin.wav,我check咗天氣app，佢話今日會有thunderstorm，最好唔好去戶外行嘅。,8.704,kept,eval,"8.70s in [5.0, 30.0]"
2,./audio/2.wav,./audio/ref_voice/alienkevin.wav,飛機已經被grounded喇，因為typhoon signal已經升到No.8嚟啦。,6.807,kept,train,"6.81s in [5.0, 30.0]"
3,./audio/3.wav,./audio/ref_voice/alienkevin.wav,周圍都有well-developed霧，嚴重limit我哋嘅visibility，開車嘅時候要小心啲！,7.7867,kept,train,"7.79s in [5.0, 30.0]"
4,./audio/4.wav,./audio/ref_voice/alienkevin.wav,Forecast話晚上嘅weather會變得好cold，會降到freezing point，甚至可能會有snow喎。,8.5974,kept,eval,"8.60s in [5.0, 30.0]"
5,./audio/5.wav,./audio/ref_voice/alienkevin.wav,感覺到今晚嘅breeze都好舒服，temperature剛剛好，真係一個perfect night去郊遊。,7.5094,kept,train,"7.51s in [5.0, 30.0]"
6,./audio/6.wav,./audio/ref_voice/alienkevin.wav,"你有冇見過咁震撼嘅sunset? 天氣真係好perfect，可以坐下嚟慢慢欣賞。"" ",7.4667,kept,train,"7.47s in [5.0, 30.0]"
7,./audio/7.wav,./audio/ref_voice/alienkevin.wav,睇嚟weekend嘅weather會比較unstable，可能會有rain shower，最好做好準備。,7.5307,kept,train,"7.53s in [5.0, 30.0]"
8,./audio/8.wav,./audio/ref_voice/alienkevin.wav,地鐵公告話因為暴雨嚟襲，好多routes都被flooded，需要改行其他routes返屋企。,8.576,kept,train,"8.58s in [5.0, 30.0]"
9,./audio/9.wav,./audio/ref_voice/alienkevin.wav,咁嘅Humidity真係令人好難受，幸好有air conditioning可以調節。,7.1894,kept,train,"7.19s in [5.0, 30.0]"
10,./audio/10.wav,./audio/ref_voice/alienkevin.wav,我個人好like去金鐘嘅food court，因為嗰度嘅選擇好wide，應有盡有。,7.851,kept,train,"7.85s in [5.0, 30.0]"
11,./audio/11.wav,./audio/ref_voice/alienkevin.wav,台灣嘅bubble tea真係太addictive，任何時間我都有mood去飲。,6.7414,kept,train,"6.74s in [5.0, 30.0]"
12,./audio/12.wav,./audio/ref_voice/alienkevin.wav,我對港式嘅dim sum好有passion，特別係燒賣和鳳爪，簡直係heavenly good!,7.5947,kept,train,"7.59s in [5.0, 30.0]"
13,./audio/13.wav,./audio/ref_voice/alienkevin.wav,如果你想去食最authentic嘅港式燒臘，我會推薦你去中環嗰間燒鵝店，太best了!,8.896,kept,eval,"8.90s in [5.0, 30.0]"
14,./audio/14.wav,./audio/ref_voice/alienkevin.wav,每次去旺角，我都會去嗰間甜品店，佢地嘅芝麻糊同腐竹滑得like silky smooth一樣，令我忍唔住要多食幾碗。,11.52,kept,train,"11.52s in [5.0, 30.0]"
15,./audio/15.wav,./audio/ref_voice/alienkevin.wav,"喺黃埔嗰間日本餐廳嘅sushi, sashimi都新鮮之餘，presentation都好on point，好worth it!",8.4907,kept,train,"8.49s in [5.0, 30.0]"
16,./audio/16.wav,./audio/ref_voice/alienkevin.wav,"我個人好enjoy嚟自美國嘅fast food culture，對我嚟講，大快朵頤一頓漢堡加薯條係牛冚匸象嘅simple pleasure。"" ",8.704,kept,train,"8.70s in [5.0, 30.0]"
17,./audio/17.wav,./audio/ref_voice/alienkevin.wav,"我個兄弟好鍾意去添馬公園果度嘅餃子店,佢話果度啲餃子juicy滿分，讚唔絕口。"" ",8.064,kept,eval,"8.06s in [5.0, 30.0]"
18,./audio/18.wav,./audio/ref_voice/alienkevin.wav,打邊爐就係我冬天嘅favourite comfort food，我鍾意邊食邊同friend嗑嗑牙，攞嚟驅寒實在冇得頂。,10.24,kept,train,"10.24s in [5.0, 30.0]"
19,./audio/19.wav,./audio/ref_voice/alienkevin.wav,意大利麵係我anytime嘅go-to meal，不論係carbonara定係bolognese我都鍾意，都好easy & quick！,10.6667,kept,train,"10.67s in [5.0, 30.0]"
20,./audio/20.wav,./audio/ref_voice/alienkevin.wav,真想好快可以plan一個trip，去新嘅destination，嘆吓新鮮air，好enjoyable呀！,9.088,kept,train,"9.09s in [5.0, 30.0]"
21,./audio/21.wav,./audio/ref_voice/alienkevin.wav,每次行過airport嘅duty free shop我就会feel excited，一覺去咗另一個world。,7.168,kept,train,"7.17s in [5.0, 30.0]"
22,./audio/22.wav,./audio/ref_voice/alienkevin.wav,如果去Japan，我一定會想去disneyland，淨係想諗都好happy！,7.7867,kept,train,"7.79s in [5.0, 30.0]"
23,./audio/23.wav,./audio/ref_voice/alienkevin.wav,"希望下次可以去Africa做一個safari tour, 去見下wildlife，好adventurous!",7.68,kept,train,"7.68s in [5.0, 30.0]"
24,./audio/24.wav,./audio/ref_voice/alienkevin.wav,我好鐘意去historical city，睇吓嗰啲historic buildings，學下嗰度嘅history.,7.8294,kept,train,"7.83s in [5.0, 30.0]"
25,./audio/25.wav,./audio/ref_voice/alienkevin.wav,下一個dream destination係New York，我想去times square countdown，感覺好fantastic嘅！,8.768,kept,train,"8.77s in [5.0, 30.0]"
26,./audio/26.wav,./audio/ref_voice/alienkevin.wav,夏天既時候去Australia就最好，去beach玩水好cool，又可以BBQ，好爽啊！,9.408,kept,eval,"9.41s in [5.0, 30.0]"
27,./audio/27.wav,./audio/ref_voice/alienkevin.wav,下次travel我想去themed hotel入住，話晒每次出行都想試人哋experience嘅新嘅喇！,10.5814,kept,train,"10.58s in [5.0, 30.0]"
28,./audio/28.wav,./audio/ref_voice/alienkevin.wav,"我想去名菜館嘗試吓佢哋嘅signature dishes，食到我心滿意足，好comforting 啊！"" ",8.256,kept,train,"8.26s in [5.0, 30.0]"
29,./audio/29.wav,./audio/ref_voice/alienkevin.wav,一定要試下去tropical island snorkeling，見下靚嘅coral reef 同 colourful fish，感覺好relaxing！,11.4774,kept,eval,"11.48s in [5.0, 30.0]"
30,./audio/30.wav,./audio/ref_voice/alienkevin.wav,我好享受去shopping mall玩嘅時候，好多品牌我都可以選，仲可以試新出嘅trendy clothes。,8.0214,kept,train,"8.02s in [5.0, 30.0]"
31,./audio/31.wav,./audio/ref_voice/alienkevin.wav,我個weekend去睇咗'The Avengers'嘅movie，電影咁intense，真係我今年睇過最好嘅show。,9.0667,kept,train,"9.07s in [5.0, 30.0]"
32,./audio/32.wav,./audio/ref_voice/alienkevin.wav,我對fitness有好大嘅passion，每次去gym都好happy，感覺自己越來越fit。,7.552,kept,train,"7.55s in [5.0, 30.0]"
33,./audio/33.wav,./audio/ref_voice/alienkevin.wav,我鍾意用我部smartphone玩mobile games，個graphic好sharp，我最鍾意'PUBG'。,7.2107,kept,train,"7.21s in [5.0, 30.0]"
34,./audio/34.wav,./audio/ref_voice/alienkevin.wav,我最近開始追韓劇'Crash Landing On You'，個plot好intriguing，每集都令我excited。,8.1067,kept,train,"8.11s in [5.0, 30.0]"
35,./audio/35.wav,./audio/ref_voice/alienkevin.wav,我love唱K，每次都唱pop songs，我朋友話我嘅vocal skills唔錯。,6.8907,kept,train,"6.89s in [5.0, 30.0]"
36,./audio/36.wav,./audio/ref_voice/alienkevin.wav,我喺Instagram嘅influencer都影響咗我嘅lifestyle，佢地post嘅photos都好inspiring。,8.0214,kept,train,"8.02s in [5.0, 30.0]"
37,./audio/37.wav,./audio/ref_voice/alienkevin.wav,我同我朋友去咗一間新開嘅bar，嗰度cocktails好優質，係一個chill嘅地方。,7.1467,kept,train,"7.15s in [5.0, 30.0]"
38,./audio/38.wav,./audio/ref_voice/alienkevin.wav,每次跑完marathon後，我都feel到全身筋骨舒暢，真係好rewarding！,6.5494,kept,train,"6.55s in [5.0, 30.0]"
39,./audio/39.wav,./audio/ref_voice/alienkevin.wav,我哋每個禮拜都會做一次yoga，對於relieve壓力同提高concentration好有幫助呢。,8.3414,kept,train,"8.34s in [5.0, 30.0]"
40,./audio/40.wav,./audio/ref_voice/alienkevin.wav,我哋嘅basketball team今次比賽表現得好good，大家都play得好努力，我好感動呀！,7.04,kept,train,"7.04s in [5.0, 30.0]"
41,./audio/41.wav,./audio/ref_voice/alienkevin.wav,呢個weekend，我哋有釣魚plan，雖然我唔係好擅長，但都well prepared，期待有一個fun and relaxing day。,8.448,kept,train,"8.45s in [5.0, 30.0]"
42,./audio/42.wav,./audio/ref_voice/alienkevin.wav,我平時prefer做gym好過outdoor activities，可以專注咁train肌肉，又可以avoid曬太陽呢。,8.8747,kept,train,"8.87s in [5.0, 30.0]"
43,./audio/43.wav,./audio/ref_voice/alienkevin.wav,我對於呢個football season好excited，好期待我最鐘意嘅隊伍有出色嘅表現喎。,7.04,kept,train,"7.04s in [5.0, 30.0]"
44,./audio/44.wav,./audio/ref_voice/alienkevin.wav,即使我唔係一個professional swimmer，但每次我游泳都feel到好refreshed，享受到water嘅cool感覺。,8.5547,kept,train,"8.55s in [5.0, 30.0]"
